P20:CT_SUBSYS_0394.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0395.AA-SOURCE_CT1,22
P20:CT_SUBSYS_0396.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0398.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0399.AA-SOURCE_CT1,3
P20:CT_SUBSYS_0401.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0402.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0405.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0406.AA-SOURCE_CT1,3
P20:CT_SUBSYS_0408.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0409.AA-SOURCE_CT1,6
P20:CT_SUBSYS_0410.AA-SOURCE_CT1,3
P20:CT_SUBSYS_0411.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0412.AA-SOURCE_CT1,4
P20:CT_SUBSYS_0413.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0414.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0415.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0416.AA-SOURCE_CT1,7
P20:CT_SUBSYS_0417.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0418.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0419.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0420.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0421.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0422.AA-SOURCE_CT1,6
P20:CT_SUBSYS_0423.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0424.AA-SOURCE_CT1,3
P20:CT_SUBSYS_0425.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0426.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0427.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0428.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0429.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0430.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0431.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0433.AA-SOURCE_CT1,3
P20:CT_SUBSYS_0434.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0436.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0437.AA-SOURCE_CT1,3
P20:CT_SUBSYS_0438.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0439.AA-SOURCE_CT1,3
P20:CT_SUBSYS_0440.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0441.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0442.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0443.AA-SOURCE_CT1,7
P20:CT_SUBSYS_0444.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0445.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0446.AA-SOURCE_CT1,5
P20:CT_SUBSYS_0447.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0448.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0450.AA-SOURCE_CT1,6
P20:CT_SUBSYS_0451.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0452.AA-SOURCE_CT1,3
P20:CT_SUBSYS_0453.AA-SOURCE_CT1,5
P20:CT_SUBSYS_0454.AA-SOURCE_CT1,1
P20:CT_SUBSYS_0455.AA-SOURCE_CT1,2
P20:CT_SUBSYS_0456.AA-SOURCE_CT1,2
